Input,Generated Gloss
concerning dangers from foreign force and influence for the independent journal,CONCERN DANGER FROM DESC-FOREIGN FORCE AND INFLUENCE FOR INDEPENDENT JOURNAL
to the people of the state of new york it is not a new observation that the people of any country if like the americans intelligent and wellinformed seldom adopt and steadily persevere for many years in an erroneous opinion respecting their interests,TO PEOPLE STATE NEW YORK X-IT BE DESC-NOT DOUBT OBSERVATION THAT POPULAR ANY COUNTRY IF LIKE AMERICAN INTELLIGENT AND WELLINFORMED RIDICULOUSLY ADOPT AND STEADILY PERSIST FOR TWO YEAR IN ERROONEOUS OPINION RESPECT YOUR INTEREST
that consideration naturally tends to create great respect for the high opinion which the people of america have so long and uniformly entertained of the importance of their continuing firmly united under one federal government vested with sufficient powers for all general and national purposes,THAT CONSIDERATION DESC-NATURALLY TEND TO CREATE GORGEOUS RESPECT FOR HIGH OPINION WHICH PEOPLE AMERICA HAVE SOMETHING LARGE AND UNIFORMLY ENTERTAIN IMPORTANCE X-Y CONTINUE FIRMLY UNITE UNDER ONE FEBRUARY GOVERNMENT VESTER WITH SUFFICIENCY POWER FOR ALL GENERAL AND NATIONAL
the more attentively i consider and investigate the reasons which appear to have given birth to this opinion the more i become convinced that they are cogent and conclusive,MORE DESC-ATTENTIVELY X-I CONSIDER AND INVESTIGATE REASON WHICH APPEAR TO HAVE GIVE BIRTH TO THIS OPINION MORE MYSELF BECOME CONVINCE THAT SHE BE COGENT AND CONCLUSIVE
among the many objects to which a wise and free people find it necessary to direct their attention that of providing for their safety seems to be the first,AMONG DESC-MANY OBJECTIVE TO WHICH WITNESS AND FREE PEOPLE FIND X-IT DOUBT TO CONDITION EXTREME ATTENTION THAT SUPPLY FOR THOSE SAFETY SEEM TO BE FIRST
the safety of the people doubtless has relation to a great variety of circumstances and considerations and consequently affords great latitude to those who wish to define it precisely and comprehensively,SAFETY PEOPLE DESC-DOUBLELESS HAVE RELATION TO GROSS VOLUME CIRCUMSTANCE AND CONSIDERATION AND PARAGRAPH APPROACH GRANDE LATITUDE TO THREE WHO WISH TO DEFINE X-IT PERTINENTLY AND COMPLEXIVELY
at present i mean only to consider it as it respects security for the preservation of peace and tranquillity as well as against dangers from foreign arms and influence as from dangers of the like kind arising from domestic causes,AT DESC-PRESENT X-I MEAN ONLY TO CONSIDER EXACTLY AS IT RESPECT SECURITY FOR PRESERVATION PEACE AND TRANQUILITY ASS WELL AS AGAINST DANGER FROM FOREIGN ARM AND INFLUENCE AS FROM THREATEN LIKE KIND ARISE FROM DOMESTIC CAUSE
as the former of these comes first in order it is proper it should be the first discussed,AS FORMER SE COME DESC-FIRST IN ORDER X-IT BE PERSONALLY SHE SHOULD BE FIRST DISCUSS
let us therefore proceed to examine whether the people are not right in their opinion that a cordial union under an efficient national government affords them the best security that can be devised against hostilities from abroad,LET X-WE DESC-REFORE PROCEED TO EXAMINE WHER PEOPLE BETTER THAN YOUNG OPINION THAT CORDIAL UNION UNDER EFFORTABLE NATIONAL GOVERNMENT APPROACH x-Y BEST SECURITY THAT CAN BE DEVISE AGAINST HONORILITY FROM AFRICA
the number of wars which have happened or will happen in the world will always be found to be in proportion to the number and weight of the causes whether real or pretended which provoke or invite them,NUMBER WAR WHICH HAVE HAPPEN OR WILL HAPPENE IN WORLD WILL DESC-ALWAYS BE FIND TO BE IN PROPORTION TO NUMERO AND WEIGHT CAUSE WHER DESPITE OR PRETEND WHO PROVOKE OR INVITE X-Y
the just causes of war for the most part arise either from violation of treaties or from direct violence,DESC-JUST CAUSE WAR FOR MOST PART ARISE EIR FROM VIOLATION TREATY OR FROM DIRECT VIOLENCE
america has already formed treaties with no less than six foreign nations and all of them except prussia are maritime and therefore able to annoy and injure us,AMERICA HAVE DESC-ALREADY FORCE TREATY WITH NO DIFFERENT THAN SIX FOREIGN NATION AND ALL X-Y EXCEPT PRUSSIUM BE MARITIME AND DECIDE TO ANNOY AND INJURE US
she has also extensive commerce with portugal spain and britain and with respect to the two latter has in addition the circumstance of neighborhood to attend to,X-SHE HAVE DESC-ALSO EXTENSIVE COMMERCE WITH PORTUGAL SPAIN AND BRITAIN AND WITH RESPECT TO TWO LATTER HAVE IN ADDITION COURSE NEIGHBORHOOD TO ATTEND TO
the wisdom of the convention in committing such questions to the jurisdiction and judgment of courts appointed by and responsible only to one national government can not be too much commended,WEAKNESS CONVENTION IN COMMIT DESC-SUCH QUESTION TO JURISDICTION AND JUDGMENT COURT APPOINT BY AND RESPONSIBLE ONLY TO ONE DEPARTMENTAL GOVERNMENT CAN EXCEPTIONALLY MUCH RECOMMEND
the case of the treaty of peace with britain adds great weight to this reasoning,CASE TREATY PEACE WITH BRITAIN ADD DESC-GREAT WEIGHT TO THIS RELIGION
but the national government not being affected by those local circumstances will neither be induced to commit the wrong themselves nor want power or inclination to prevent or punish its commission by others,BUT NATIONAL GOVERNMENT DESC-NOT BE AFFECT BY THOSE LOCAL CIRCUMSTANCE WILL NEIR BE INFRASTRATE TO COMMIT WRONG X-MSELVES NOR WANT POWER OR INTENTION TO PREVENT OR PUNISH THROUGHOUT
